http_code	internal_error_code	message
500	600	DEFAULT ERROR: NOT IMPLEMENTED
400	601	JSON data is missing
400	602	Malformed (non-integer) user id
400	603	No user id present in request
400	604	No directory path in request
500	605	Fail! New directory failed to be added
500	606	Fail! Unable to get albums
500	607	Fail! Unable to delete album
401	608	Cannot access directory, permission denied
500	609	Directory Not Found
404	610	Directory is empty
400	611	Username is missing
400	612	Password is missing
400	613	First Name is missing
400	614	Last Name is missing
